Date,Bid High,Ask High,Bid Low,Ask Low,Bid Average,Ask Average,6 Month Gold Lease Rates (%PA)
2017-12-01,1272.96,1278.14,1272.33,1277.53,1272.62,1277.79,
2017-11-30,1282.14,1287.6,1277.39,1282.49,1280.95,1286.28,
2017-11-29,1293.47,1298.59,1290.86,1296.0,1292.25,1297.5,
2017-11-28,1292.71,1298.48,1290.11,1295.49,1291.15,1296.79,
2017-11-27,1289.34,1294.48,1284.29,1289.43,1286.84,1292.38,
2017-11-24,1289.98,1295.4,1287.06,1292.86,1288.68,1294.16,
2017-11-23,1288.91,1294.68,1286.26,1291.75,1287.27,1292.8,
2017-11-22,1282.79,1287.9,1276.65,1282.1,1279.0,1284.49,
2017-11-21,1277.66,1283.4,1274.4,1280.2,1277.14,1282.44,
2017-11-20,1290.6,1296.4,1288.01,1293.39,1289.09,1294.55,
2017-11-17,1280.73,1286.01,1275.9,1281.2,1279.14,1284.55,
2017-11-16,1276.61,1282.38,1273.67,1278.86,1275.12,1280.44,
2017-11-15,1284.35,1289.48,1277.51,1282.71,1279.33,1284.73,
2017-11-14,1275.11,1280.88,1269.96,1275.73,1273.67,1279.29,
2017-11-13,1274.77,1279.88,1272.7,1278.2,1273.7,1279.06,
2017-11-10,1284.01,1289.81,1280.52,1285.88,1282.39,1287.88,
2017-11-09,1281.8,1286.91,1278.36,1283.43,1279.76,1285.05,
2017-11-08,1276.58,1282.01,1273.76,1279.53,1275.17,1280.51,
2017-11-07,1279.16,1284.36,1273.86,1279.63,1276.64,1282.14,
2017-11-06,1269.19,1274.3,1265.24,1270.68,1267.03,1272.3,
2017-11-03,1275.31,1281.11,1272.54,1277.57,1273.91,1279.5,
2017-11-02,1277.96,1283.1,1272.66,1277.91,1275.49,1280.79,
2017-11-01,1273.21,1278.98,1265.76,1271.53,1268.71,1274.12,
2017-10-31,1274.7,1279.81,1272.4,1278.08,1273.42,1278.93,
2017-10-30,1270.19,1275.32,1266.05,1271.88,1268.19,1273.72,
2017-10-27,1265.59,1270.72,1263.0,1268.8,1264.52,1269.96,
2017-10-26,1279.5,1285.0,1274.64,1279.77,1277.19,1282.59,
2017-10-25,1274.18,1279.32,1269.31,1274.42,1271.74,1277.14,
2017-10-24,1280.2,1286.0,1275.37,1280.48,1278.79,1284.32,
2017-10-23,1274.37,1279.49,1272.46,1277.63,1273.27,1278.71,
2017-10-20,1287.88,1293.01,1278.11,1283.68,1282.3,1287.67,
2017-10-19,1283.01,1288.44,1275.16,1280.28,1277.86,1283.12,
2017-10-18,1284.9,1290.7,1278.78,1283.91,1282.71,1288.0,
2017-10-17,1293.33,1298.37,1286.4,1292.0,1289.96,1295.37,
2017-10-16,1302.39,1308.89,1299.15,1304.47,1300.22,1306.03,
2017-10-13,1294.16,1299.29,1291.2,1296.53,1292.6,1298.03,
2017-10-12,1293.91,1299.68,1289.41,1295.18,1291.8,1297.11,
2017-10-11,1287.7,1293.45,1285.0,1290.1,1286.32,1291.62,
2017-10-10,1286.47,1291.61,1280.56,1285.69,1283.49,1288.74,
2017-10-09,1282.16,1287.27,1273.96,1279.28,1278.06,1283.41,
2017-10-06,1266.64,1272.23,1264.9,1270.64,1265.77,1271.4,
2017-10-05,1275.65,1281.45,1270.81,1276.34,1272.28,1277.72,
2017-10-04,1273.8,1279.55,1269.56,1275.33,1272.44,1278.08,
2017-10-03,1269.25,1274.7,1266.13,1271.26,1267.45,1273.0,
2017-10-02,1275.2,1281.0,1270.07,1275.17,1272.52,1277.8,
2017-09-29,1285.41,1291.18,1281.61,1287.28,1283.33,1288.95,
2017-09-28,1281.46,1286.6,1276.54,1281.68,1279.07,1284.44,
2017-09-27,1292.86,1298.09,1286.51,1291.62,1290.72,1296.28,
2017-09-26,1310.4,1316.2,1302.66,1307.75,1307.12,1312.54,
2017-09-25,1290.96,1296.48,1288.8,1294.44,1289.88,1295.48,
2017-09-22,1295.21,1300.98,1288.98,1294.12,1293.04,1298.37,
2017-09-21,1298.75,1303.89,1291.31,1297.08,1295.55,1300.98,
2017-09-20,1311.31,1317.08,1307.21,1312.98,1309.35,1314.96,
2017-09-19,1306.29,1311.83,1304.1,1309.9,1305.14,1310.78,
2017-09-18,1316.45,1321.58,1311.23,1316.32,1314.27,1319.8,
2017-09-15,1331.0,1336.8,1323.1,1329.6,1327.28,1332.98,
2017-09-14,1321.7,1326.87,1317.02,1322.14,1318.82,1324.18,
2017-09-13,1330.2,1335.48,1326.74,1332.74,1328.68,1334.24,
2017-09-12,1325.95,1331.76,1321.72,1326.85,1323.46,1328.9,
2017-09-11,1336.19,1341.32,1333.01,1338.78,1334.76,1340.28,
2017-09-08,1352.65,1358.0,1344.9,1350.7,1348.9,1354.46,
2017-09-07,1336.31,1341.44,1330.5,1336.29,1332.55,1338.11,
2017-09-06,1339.15,1344.7,1334.51,1340.28,1336.58,1342.09,
2017-09-05,1334.78,1339.92,1327.9,1333.7,1332.15,1337.71,
2017-09-04,1335.26,1340.68,1330.41,1336.18,1332.49,1338.14,
2017-09-01,1319.07,1324.2,1315.31,1321.11,1316.86,1322.47,
2017-08-31,1305.99,1311.14,1298.75,1305.25,1302.33,1307.9,
2017-08-30,1310.71,1316.11,1305.01,1310.78,1308.3,1313.72,
2017-08-29,1322.06,1327.12,1312.3,1318.1,1315.81,1321.33,
2017-08-28,1295.42,1300.58,1288.53,1293.78,1291.86,1297.59,
2017-08-25,1285.23,1290.33,1282.6,1288.4,1283.82,1289.44,
2017-08-24,1287.86,1293.63,1283.51,1288.64,1285.88,1291.29,
2017-08-23,1283.89,1289.41,1280.45,1286.26,1282.48,1288.0,
2017-08-22,1288.5,1294.3,1282.1,1287.64,1285.34,1291.07,
2017-08-21,1285.8,1291.31,1280.3,1286.07,1283.71,1289.02,
2017-08-18,1292.9,1298.03,1284.31,1290.08,1287.04,1292.68,
2017-08-17,1286.56,1292.36,1280.62,1285.84,1284.26,1289.59,
2017-08-16,1270.97,1276.13,1267.61,1272.91,1269.61,1274.79,
2017-08-15,1278.0,1283.8,1271.41,1276.56,1273.65,1279.07,
2017-08-14,1286.86,1291.98,1278.4,1283.55,1283.7,1289.25,
2017-08-11,1285.41,1291.18,1282.56,1287.98,1283.77,1289.22,
2017-08-10,1276.58,1281.88,1272.8,1278.33,1274.55,1280.21,
2017-08-09,1265.6,1271.84,1259.01,1264.78,1262.7,1268.49,
2017-08-08,1258.3,1263.61,1254.92,1260.09,1257.06,1262.55,
2017-08-07,1256.04,1261.85,1254.56,1260.19,1255.23,1260.84,
2017-08-04,1267.11,1272.5,1265.04,1270.4,1266.13,1271.62,
2017-08-03,1262.06,1267.83,1258.6,1264.35,1260.03,1265.69,
2017-08-02,1266.01,1271.78,1262.5,1267.8,1264.04,1269.61,
2017-08-01,1267.73,1272.86,1265.01,1270.21,1266.41,1271.91,
2017-07-31,1267.4,1273.2,1264.24,1269.34,1265.88,1271.3,
2017-07-28,1257.75,1263.2,1255.62,1260.76,1256.67,1262.05,
2017-07-27,1261.45,1266.91,1257.93,1263.03,1260.01,1265.39,
2017-07-26,1246.61,1252.38,1242.79,1247.92,1244.49,1249.85,
2017-07-25,1254.01,1259.78,1249.71,1255.92,1251.87,1257.51,
2017-07-24,1253.31,1259.08,1249.97,1255.12,1251.7,1257.29,
2017-07-21,1245.44,1250.6,1241.0,1246.58,1242.85,1248.23,
2017-07-20,1239.1,1244.25,1234.8,1240.34,1236.6,1242.05,
2017-07-19,1240.19,1245.32,1235.22,1240.28,1237.88,1243.47,
2017-07-18,1235.34,1240.6,1230.4,1235.88,1233.97,1239.48,
2017-07-17,1228.59,1234.08,1227.51,1232.76,1228.04,1233.52,
2017-07-14,1216.5,1221.64,1213.11,1218.6,1214.59,1219.88,
2017-07-13,1221.04,1226.3,1216.2,1222.0,1219.38,1224.88,
2017-07-12,1217.7,1222.88,1214.46,1220.23,1216.08,1221.59,
2017-07-11,1211.81,1217.58,1207.11,1212.6,1209.14,1214.58,
2017-07-10,1210.97,1216.12,1203.9,1209.34,1207.39,1212.72,
2017-07-07,1222.26,1228.06,1216.97,1222.14,1219.15,1224.56,
2017-07-06,1224.86,1230.33,1221.7,1227.28,1223.17,1228.69,
2017-07-05,1225.74,1231.18,1219.71,1224.84,1223.39,1228.75,
2017-07-04,1222.64,1228.6,1219.1,1224.26,1221.07,1226.54,
2017-07-03,1239.01,1244.78,1232.9,1238.18,1235.14,1240.53,
2017-06-30,1244.99,1250.17,1240.4,1246.09,1242.9,1248.19,
2017-06-29,1250.24,1255.39,1242.71,1247.86,1247.85,1253.17,
2017-06-28,1250.88,1256.03,1245.41,1251.18,1248.45,1254.0,
2017-06-27,1248.96,1254.73,1239.65,1245.2,1243.4,1248.68,
2017-06-26,1254.67,1259.78,1239.16,1244.25,1249.47,1255.04,
2017-06-23,1254.2,1260.01,1247.86,1253.63,1249.99,1255.41,
2017-06-22,1250.91,1256.68,1245.89,1251.06,1249.17,1254.52,
