Date,Bid High,Ask High,Bid Low,Ask Low,Bid Average,Ask Average,6 Month Gold Lease Rates (%PA)
2017-12-01,16.33,16.59,16.3,16.56,16.31,16.58,
2017-11-30,16.46,16.73,16.36,16.61,16.42,16.69,
2017-11-29,16.77,17.05,16.71,17.0,16.75,17.02,
2017-11-28,16.92,17.22,16.85,17.13,16.9,17.18,
2017-11-27,16.95,17.21,16.85,17.16,16.91,17.18,
2017-11-24,17.02,17.29,16.95,17.23,16.99,17.26,
2017-11-23,17.0,17.28,16.93,17.2,16.96,17.23,
2017-11-22,16.91,17.16,16.8,17.08,16.85,17.12,
2017-11-21,16.86,17.11,16.78,17.07,16.83,17.1,
2017-11-20,17.14,17.43,17.0,17.26,17.07,17.33,
2017-11-17,16.98,17.27,16.91,17.2,16.96,17.23,
2017-11-16,16.89,17.15,16.85,17.1,16.87,17.13,
2017-11-15,17.01,17.25,16.89,17.15,16.92,17.19,
2017-11-14,16.91,17.19,16.8,17.09,16.87,17.15,
2017-11-13,16.8,17.07,16.74,17.01,16.78,17.05,
2017-11-10,16.91,17.17,16.84,17.11,16.88,17.15,
2017-11-09,16.99,17.25,16.89,17.18,16.94,17.21,
2017-11-08,16.92,17.19,16.82,17.13,16.89,17.15,
2017-11-07,17.09,17.36,16.9,17.19,17.01,17.28,
2017-11-06,16.75,17.06,16.71,16.96,16.74,17.0,
2017-11-03,17.03,17.31,16.95,17.22,17.0,17.26,
2017-11-02,17.06,17.31,16.95,17.2,17.01,17.27,
2017-11-01,16.77,17.05,16.52,16.83,16.63,16.92,
2017-10-31,16.75,17.03,16.68,16.96,16.72,16.98,
2017-10-30,16.7,16.99,16.6,16.87,16.63,16.92,
2017-10-27,16.66,16.95,16.57,16.85,16.62,16.9,
2017-10-26,16.91,17.18,16.81,17.09,16.85,17.13,
2017-10-25,16.83,17.07,16.72,16.97,16.77,17.03,
2017-10-24,17.0,17.3,16.91,17.16,16.97,17.24,
2017-10-23,16.88,17.16,16.8,17.08,16.84,17.12,
2017-10-20,17.16,17.41,16.93,17.22,17.04,17.33,
2017-10-19,16.94,17.19,16.81,17.06,16.86,17.11,
2017-10-18,16.95,17.25,16.84,17.1,16.9,17.18,
2017-10-17,17.12,17.36,16.96,17.25,17.06,17.32,
2017-10-16,17.3,17.55,17.18,17.48,17.25,17.52,
2017-10-13,17.15,17.42,17.09,17.37,17.13,17.39,
2017-10-12,17.11,17.38,17.04,17.31,17.07,17.34,
2017-10-11,17.04,17.29,16.98,17.23,17.01,17.27,
2017-10-10,16.95,17.27,16.83,17.08,16.89,17.17,
2017-10-09,16.82,17.11,16.67,16.95,16.76,17.05,
2017-10-06,16.5,16.77,16.45,16.72,16.48,16.74,
2017-10-05,16.55,16.84,16.44,16.7,16.47,16.74,
2017-10-04,16.63,16.92,16.48,16.77,16.59,16.88,
2017-10-03,16.49,16.75,16.39,16.71,16.44,16.72,
2017-10-02,16.49,16.79,16.43,16.72,16.47,16.74,
2017-09-29,16.74,17.02,16.68,16.95,16.71,16.98,
2017-09-28,16.67,16.95,16.56,16.84,16.61,16.89,
2017-09-27,16.74,17.02,16.68,16.93,16.71,16.98,
2017-09-26,17.1,17.39,16.94,17.21,17.02,17.31,
2017-09-25,16.83,17.08,16.75,17.04,16.8,17.06,
2017-09-22,16.93,17.23,16.85,17.11,16.89,17.16,
2017-09-21,17.03,17.28,16.8,17.1,16.92,17.21,
2017-09-20,17.21,17.5,17.13,17.41,17.17,17.45,
2017-09-19,17.09,17.37,16.98,17.28,17.04,17.31,
2017-09-18,17.49,17.77,17.39,17.67,17.44,17.72,
2017-09-15,17.69,18.0,17.6,17.84,17.66,17.92,
2017-09-14,17.64,17.92,17.52,17.8,17.59,17.86,
2017-09-13,17.82,18.06,17.71,17.98,17.75,18.01,
2017-09-12,17.67,17.96,17.57,17.87,17.63,17.91,
2017-09-11,17.74,18.02,17.69,17.97,17.71,18.0,
2017-09-08,18.08,18.33,17.94,18.23,18.01,18.28,
2017-09-07,17.75,18.02,17.68,17.98,17.71,18.0,
2017-09-06,17.83,18.09,17.73,18.0,17.76,18.05,
2017-09-05,17.77,18.04,17.66,17.95,17.74,18.0,
