Date,Bid High,Ask High,Bid Low,Ask Low,Bid Average,Ask Average,6 Month Gold Lease Rates (%PA)
2017-12-01,1001.75,1026.75,999.2,1021.7,1000.23,1024.4,
2017-11-30,1011.53,1036.53,1004.75,1028.7,1008.68,1033.13,
2017-11-29,1018.72,1043.27,1013.0,1037.8,1015.88,1040.59,
2017-11-28,997.35,1022.35,991.25,1016.25,995.23,1019.95,
2017-11-27,988.0,1012.7,984.75,1006.75,986.35,1010.52,
2017-11-24,1003.4,1027.75,999.75,1023.2,1001.98,1026.42,
2017-11-23,996.25,1021.25,992.75,1015.7,994.47,1019.15,
2017-11-22,995.1,1019.45,988.25,1013.25,991.19,1015.91,
2017-11-21,983.0,1008.0,978.75,1003.5,980.78,1005.26,
2017-11-20,988.8,1011.5,983.0,1007.77,985.67,1009.7,
2017-11-17,987.5,1008.8,977.97,1002.52,982.22,1006.0,
2017-11-16,977.5,1001.5,972.47,996.3,975.53,999.43,
2017-11-15,981.6,1004.77,967.9,989.7,978.25,1001.97,
2017-11-14,988.25,1010.5,979.7,1002.1,984.33,1007.75,
2017-11-13,991.4,1016.15,986.0,1007.6,989.25,1013.07,
2017-11-10,1003.25,1028.25,996.7,1021.7,1000.36,1024.92,
2017-11-09,1011.7,1033.4,1005.22,1029.77,1007.47,1031.52,
2017-11-08,989.3,1013.75,984.47,1009.02,986.95,1011.42,
2017-11-07,990.4,1015.15,987.25,1011.7,989.36,1013.99,
2017-11-06,995.25,1017.25,988.6,1012.0,990.8,1013.91,
2017-11-03,992.8,1017.53,986.47,1011.02,989.09,1013.37,
2017-11-02,995.9,1018.77,986.0,1008.0,992.71,1016.16,
2017-11-01,985.0,1009.0,971.9,996.8,976.43,1000.8,
2017-10-31,966.0,988.0,955.5,980.5,962.15,986.28,
2017-10-30,966.15,988.15,958.97,983.52,961.1,985.25,
2017-10-27,960.72,985.27,954.22,978.77,958.04,982.27,
2017-10-26,959.5,983.85,953.25,978.25,957.19,981.58,
2017-10-25,955.7,980.7,948.6,973.0,953.56,977.79,
2017-10-24,958.0,981.25,948.0,973.0,953.66,977.47,
2017-10-23,963.2,987.02,956.0,978.0,959.92,983.51,
2017-10-20,959.3,981.5,950.0,975.0,954.44,978.18,
2017-10-19,953.75,977.52,948.7,972.4,951.63,974.7,
2017-10-18,977.47,1002.02,970.25,992.25,974.25,997.89,
2017-10-17,977.4,998.4,964.5,987.5,968.81,992.39,
2017-10-16,996.72,1021.27,981.35,1005.0,986.68,1010.46,
2017-10-13,972.75,997.75,964.49,991.5,969.56,994.21,
2017-10-12,953.8,976.45,945.97,970.52,950.06,973.83,
2017-10-11,931.0,953.0,925.05,947.25,927.33,951.34,
2017-10-10,925.4,949.25,918.72,943.27,922.43,945.57,
2017-10-09,919.75,943.75,911.75,935.75,915.89,939.76,
2017-10-06,932.0,956.1,929.1,950.9,930.29,954.4,
2017-10-05,920.0,942.0,913.75,936.75,915.81,939.59,
2017-10-04,915.28,938.0,908.42,933.0,912.12,936.11,
2017-10-03,905.35,927.52,898.35,923.15,901.78,925.6,
2017-10-02,928.5,952.8,924.25,946.25,926.13,950.08,
2017-09-29,929.5,954.5,919.97,943.8,925.91,949.14,
2017-09-28,922.0,944.2,915.15,937.9,917.74,941.28,
2017-09-27,908.0,930.0,903.97,926.8,905.22,929.11,
2017-09-26,908.0,932.0,902.25,925.5,905.66,929.16,
2017-09-25,915.5,939.5,909.72,934.1,912.17,935.88,
2017-09-22,908.6,930.5,902.73,926.4,905.97,928.64,
2017-09-21,911.0,934.0,900.97,924.1,904.68,927.59,
2017-09-20,906.1,930.25,900.72,925.27,904.7,928.8,
2017-09-19,927.5,951.55,916.88,941.88,923.11,947.49,
2017-09-18,925.9,950.27,911.5,935.5,919.67,943.95,
2017-09-15,919.75,943.75,914.5,939.5,917.34,941.48,
2017-09-14,934.0,959.0,928.5,953.0,930.86,955.05,
2017-09-13,945.25,970.25,940.0,963.5,942.6,966.67,
2017-09-12,932.0,954.0,924.2,949.0,927.11,951.09,
2017-09-11,942.25,964.25,925.3,950.55,932.21,956.25,
2017-09-08,955.4,979.8,943.0,965.0,949.54,973.42,
2017-09-07,935.9,959.0,928.7,952.5,931.4,955.24,
2017-09-06,956.75,979.3,949.5,974.5,953.97,978.18,
2017-09-05,971.25,996.0,965.75,990.75,968.9,993.01,
2017-09-04,981.25,1007.0,975.0,999.0,978.03,1002.24,
2017-09-01,928.0,952.45,923.78,947.6,926.12,950.63,
2017-08-31,928.9,950.52,919.93,944.93,923.14,947.26,
2017-08-30,935.5,960.05,930.65,955.65,934.23,958.48,
2017-08-29,937.5,962.5,927.25,952.25,929.41,954.45,
2017-08-28,921.47,946.02,915.9,941.35,918.99,943.69,
2017-08-25,928.0,951.15,922.47,947.02,924.35,948.78,
2017-08-24,925.0,948.5,921.47,942.7,923.55,946.4,
2017-08-23,924.0,945.9,915.5,940.5,918.0,942.43,
2017-08-22,927.6,952.5,924.5,948.1,925.97,950.54,
2017-08-21,922.33,944.33,911.5,934.95,917.23,940.85,
2017-08-18,920.9,943.15,912.0,937.0,916.09,940.27,
2017-08-17,915.22,939.77,910.48,932.65,912.84,936.49,
2017-08-16,885.7,907.4,877.25,900.0,879.84,903.2,
2017-08-15,887.0,911.52,883.0,907.0,885.66,909.67,
2017-08-14,886.25,909.5,882.8,907.5,884.35,908.11,
2017-08-11,891.5,914.75,887.97,911.2,889.16,913.4,
2017-08-10,886.5,910.5,880.47,905.02,882.9,906.91,
2017-08-09,888.5,912.5,882.6,905.25,886.36,910.51,
2017-08-08,880.5,904.5,875.5,897.5,878.33,902.46,
2017-08-07,869.75,892.5,863.63,885.63,867.42,890.77,
2017-08-04,877.1,901.5,874.7,897.93,875.78,899.58,
2017-08-03,886.0,910.5,877.22,901.77,883.51,907.61,
2017-08-02,887.7,909.5,879.49,904.1,882.08,905.78,
2017-08-01,879.75,904.0,873.49,898.75,876.76,900.97,
2017-07-31,879.65,903.0,872.8,896.5,875.98,900.21,
2017-07-28,871.0,893.0,861.5,883.53,864.89,888.28,
2017-07-27,867.0,890.5,856.35,881.3,859.54,883.69,
2017-07-26,852.15,874.5,847.25,869.25,849.17,872.42,
2017-07-25,851.13,873.13,842.05,866.7,845.39,869.26,
2017-07-24,835.83,860.48,831.1,856.1,834.25,858.42,
2017-07-21,839.5,864.5,835.5,860.27,837.27,861.96,
2017-07-20,848.0,872.9,844.2,868.6,846.14,870.18,
2017-07-19,854.25,878.6,851.85,874.5,852.89,876.77,
2017-07-18,859.5,883.75,851.6,876.2,857.15,881.46,
2017-07-17,849.5,872.52,843.65,867.2,847.03,871.11,
2017-07-14,851.05,873.05,844.75,869.4,847.65,871.26,
2017-07-13,857.68,880.5,851.95,875.2,854.22,878.0,
2017-07-12,846.38,870.23,840.25,865.0,843.63,867.67,
2017-07-11,834.8,860.0,829.99,855.58,832.5,857.84,
2017-07-10,831.5,855.5,825.5,849.25,828.68,853.02,
2017-07-07,830.75,852.75,820.2,844.8,824.93,848.8,
2017-07-06,836.0,861.0,830.75,855.75,832.55,857.39,
2017-07-05,846.0,871.0,841.5,866.0,844.3,868.73,
2017-07-04,849.85,874.85,835.25,860.25,845.31,869.99,
2017-07-03,836.9,861.35,835.2,858.3,836.18,860.02,
2017-06-30,840.42,865.25,834.49,858.48,838.0,862.39,
2017-06-29,852.55,876.55,846.95,870.8,849.9,874.01,
2017-06-28,854.5,877.28,848.0,871.8,851.66,874.83,
2017-06-27,862.0,885.6,855.99,878.0,858.19,882.8,
