Date,Bid.High,Ask.High,Bid.Low,Ask.Low,Bid.Average,Ask.Average
1/1/1999,288.3,288.8,288.25,288.75,288.28,288.78
1/4/1999,288.3,288.8,288.25,288.75,288.28,288.78
1/5/1999,287.5,288,287.25,287.75,287.38,287.88
1/6/1999,286.85,287.35,286.75,287.25,286.8,287.3
1/7/1999,288.65,289.15,288,288.5,288.22,288.72
1/8/1999,291.5,292,291,291.5,291.25,291.75
1/11/1999,291.25,291.75,291.25,291.75,291.25,291.75
1/12/1999,292.5,293,291.6,292.1,292.05,292.55
1/13/1999,288.1,288.6,287.75,288.25,287.93,288.43
1/14/1999,286.1,286.6,285.9,286.4,286,286.5
1/15/1999,286.5,287,286,286.5,286.31,286.81
1/18/1999,287,287.5,286.5,287,286.8,287.3
1/19/1999,286.85,287.35,286.65,287.05,286.73,287.2
1/20/1999,286.75,287.25,286.5,287,286.63,287.13
1/21/1999,287.25,287.75,286.9,287.4,287.13,287.63
1/22/1999,287.5,288,287.1,287.6,287.38,287.88
1/25/1999,286.3,286.8,286.3,286.8,286.3,286.8
1/26/1999,287.4,287.9,287.35,287.85,287.38,287.88
1/27/1999,285.8,286.3,285.8,286.3,285.8,286.3
1/28/1999,283.4,283.9,282.75,283.25,283.16,283.66
1/29/1999,285,285.5,284.35,284.85,284.72,285.22
2/1/1999,287.15,287.65,286.1,286.6,286.65,287.15
2/2/1999,289.35,289.85,288.1,288.6,288.71,289.21
2/3/1999,288.5,289,288.3,288.8,288.37,288.87
2/4/1999,287.25,287.75,286.8,287.3,286.97,287.47
2/5/1999,289.6,290.1,289.2,289.7,289.44,289.94
2/8/1999,289,289.5,288.6,289.1,288.83,289.33
2/9/1999,288.7,289.2,287.5,288,288.08,288.58
2/10/1999,287.45,287.95,287.35,287.85,287.41,287.91
2/11/1999,286.9,287.4,286.85,287.35,286.88,287.38
2/12/1999,287.65,288.15,287.5,288,287.58,288.08
2/15/1999,289.35,289.85,289.1,289.6,289.23,289.73
2/16/1999,289.25,289.75,287.8,288.3,288.25,288.75
2/17/1999,285.3,285.8,284.6,285.1,284.95,285.45
2/18/1999,285,285.5,284.9,285.4,284.95,285.45
2/19/1999,286.15,286.65,285.7,286.2,285.91,286.44
2/22/1999,287.5,288,286.75,287.25,287.17,287.67
2/23/1999,286.9,287.4,286.2,286.7,286.63,287.13
2/24/1999,287.1,287.6,287,287.5,287.05,287.55
2/25/1999,287.6,288.1,287,287.5,287.3,287.8
2/26/1999,286.75,287.25,286.5,287,286.63,287.13
3/1/1999,286.7,287.2,286.7,287.2,286.7,287.2
3/2/1999,286.3,286.8,286.2,286.7,286.25,286.75
3/3/1999,286.7,287.2,286.55,287.05,286.63,287.13
3/4/1999,286.45,286.95,286.3,286.8,286.37,286.87
3/5/1999,287.85,288.35,287.8,288.3,287.83,288.33
3/8/1999,288.15,288.65,287.9,288.4,288.05,288.55
3/9/1999,291.7,292.2,291.2,291.7,291.45,291.95
3/10/1999,291.8,292.3,291.4,291.9,291.6,292.1
3/11/1999,293.25,293.75,292.7,293.2,293.03,293.53
3/12/1999,294.2,294.7,293.25,293.75,293.55,294.05
3/15/1999,292.25,292.75,291.35,291.85,291.75,292.25
3/16/1999,286.8,287.3,286,286.5,286.48,286.98
3/17/1999,283.65,284.15,283.5,284,283.58,284.08
3/18/1999,283.8,284.3,283.7,284.2,283.75,284.25
3/19/1999,283.9,284.4,282.85,283.35,283.38,283.88
3/22/1999,284.2,284.7,283.85,284.35,284.03,284.53
3/23/1999,284.5,285,284.4,284.9,284.45,284.95
3/24/1999,284.5,285,284.25,284.75,284.38,284.88
3/25/1999,283.8,284.55,283.45,284.2,283.66,284.35
