"","Date","Bid.High","Ask.High","Bid.Low","Ask.Low","Bid.Average","Ask.Average"
"5916",1999-01-01,331,335,329,334,330,334.5
"5915",1999-01-04,331,335,329,334,330,334.5
"5914",1999-01-05,339,344,335,340,337,342
"5913",1999-01-06,327,331,325,330,326,330.5
"5912",1999-01-07,316,321,313,318,314,319
"5909",1999-01-08,314,319,308,313,311,316
"5908",1999-01-11,315,320,315,320,315,320
"5907",1999-01-12,317,322,316,321,316.5,321.5
"5906",1999-01-13,314,319,312,317,313,318
"5905",1999-01-14,310,315,310,315,310,315
"5902",1999-01-15,311.3,316.3,310,315,310.33,315.33
"5901",1999-01-18,312.5,317.5,308.5,313.5,310.67,315.67
"5900",1999-01-19,317,322,314,319,315,320
"5899",1999-01-20,320.1,325.1,320,325,320.05,325.05
"5898",1999-01-21,320,325,316.4,321.4,318.88,323.88
"5895",1999-01-22,319,324,318,323,318.75,323.75
"5894",1999-01-25,319.05,324.05,318,323,318.53,323.53
"5893",1999-01-26,322,327,322,327,322,327
"5892",1999-01-27,324.15,329.15,324.15,329.15,324.15,329.15
"5891",1999-01-28,327,332,325,330,326,331
"5888",1999-01-29,329.75,334.75,328,333,328.58,333.58
"5887",1999-02-01,336,341,333.25,338.25,334.42,339.42
"5886",1999-02-02,341.65,346.65,338,343,339.73,344.73
"5885",1999-02-03,341,346,338.75,343.75,339.92,344.92
"5884",1999-02-04,349,354,347,352,348.33,353.33
"5881",1999-02-05,360.7,365.7,353,358,355.68,360.68
"5880",1999-02-08,344,349,339,344,340.25,345.25
"5879",1999-02-09,343,348,342,347,342.33,347.33
"5878",1999-02-10,353,358,348,353,351.25,356.25
"5877",1999-02-11,355,360,355,360,355,360
"5874",1999-02-12,352,357,350,355,350.67,355.67
"5873",1999-02-15,355.5,360.5,355,360,355.25,360.25
"5872",1999-02-16,355,360,353,358,354,359
"5871",1999-02-17,349,354,348,353,348.5,353.5
"5870",1999-02-18,345,350,343,348,344,349
"5867",1999-02-19,355,360,355,360,355,360
"5866",1999-02-22,352,357,351,356,351.24,356.24
"5865",1999-02-23,347,352,345,350,345.8,350.8
"5864",1999-02-24,345,350,344,349,344.5,349.5
"5863",1999-02-25,349,354,348.6,353.6,348.8,353.8
"5860",1999-02-26,352,357,351,356,351.33,356.33
"5859",1999-03-01,349,354,349,354,349,354
"5858",1999-03-02,352,357,352,357,352,357
"5857",1999-03-03,352,357,350,355,351,356
"5856",1999-03-04,346,351,344,349,345.33,350.33
"5853",1999-03-05,347,352,346,351,346.5,351.5
"5852",1999-03-08,347.5,352.5,343,348,345.17,350.17
"5851",1999-03-09,346,351,345,350,345.5,350.5
"5850",1999-03-10,345,350,343,348,344,349
"5849",1999-03-11,345,350,343,348,344.33,349.33
"5846",1999-03-12,350,355,348,353,349.2,354.2
"5845",1999-03-15,348,353,348,353,348,353
"5844",1999-03-16,350,355,349,353,349.33,353.67
"5843",1999-03-17,351,355,350,355,350.5,355
"5842",1999-03-18,349,354,347.75,352,348.25,352.92
"5839",1999-03-19,349,354,349,353,349,353.5
"5838",1999-03-22,358.2,363.2,355,360,356.6,361.6
"5837",1999-03-23,354,359,353,358,353.5,358.5
"5836",1999-03-24,354,359,352,357,353,358
"5835",1999-03-25,352,357,352,357,352,357
"5832",1999-03-26,359.75,364.75,359.75,364.75,359.75,364.75
"5831",1999-03-29,366,371,365,370,365.5,370.5
"5830",1999-03-30,362,367,360,365,360.67,365.67
"5829",1999-03-31,359,364,358,363,358.67,363.67
"5824",1999-04-01,358,363,356,361,357,362
"5823",1999-04-02,352,360,351,356,354.165,357.33
"5822",1999-04-05,352,360,351,356,352.7475,357.33
"5821",1999-04-06,352,360,351,356,351.33,357.33
"5818",1999-04-07,357,362,355,360,356.33,361.33
"5817",1999-04-08,363,368,360,365,361.33,366.33
"5816",1999-04-09,357,362,353,358,354.8,359.8
"5815",1999-04-12,362,367,361.75,366.75,361.92,366.92
"5814",1999-04-13,363.25,368.25,363,368,363.13,368.13
"5811",1999-04-14,364.5,369.5,363,368,363.63,368.63
"5810",1999-04-15,364.9,369.9,364,369,364.45,369.45
"5809",1999-04-16,366,371,364,369,365,370
"5808",1999-04-19,369.5,374.5,369,374,369.17,374.17
"5807",1999-04-20,383,388,378,383,381.2,386.2
"5804",1999-04-21,383,388,378,383,380.67,385.67
"5803",1999-04-22,375,380,372,377,373,378
"5802",1999-04-23,369.15,374.15,363,368,365.04,370.04
"5801",1999-04-26,358,363,358,363,358,363
"5800",1999-04-27,350,355,346,351,347.92,352.92
"5797",1999-04-28,349,354,343,348,346.33,351.33
"5796",1999-04-29,352,357,333,338,339.67,344.67
"5795",1999-04-30,338.5,343.5,333,338,335.5,340.5
"5794",1999-05-03,307,312,307,312,307,312
"5793",1999-05-04,295,300,295,300,295,300
"5790",1999-05-05,288,293,288,293,288,293
"5789",1999-05-06,291,296,291,296,291,296
"5788",1999-05-07,328,333,311.5,316.5,320.17,325.17
"5787",1999-05-10,334.1,339.1,334.1,339.1,334.1,339.1
"5786",1999-05-11,327,332,326,331,326.5,331.5
"5783",1999-05-12,333,338,328,333,331,336
"5782",1999-05-13,336,341,336,341,336,341
"5781",1999-05-14,342,347,339,344,340.5,345.5
"5780",1999-05-17,342,347,337,342,339.5,344.5
"5779",1999-05-18,337,342,337,342,337,342
"5776",1999-05-19,340.2,345.2,337,342,338.6,343.6
"5775",1999-05-20,334,339,328,333,332,337
"5774",1999-05-21,331,336,326,331,327.67,332.67
"5773",1999-05-24,329,334,328,333,328.5,333.5
"5772",1999-05-25,331,336,327,332,329,334
"5769",1999-05-26,336,341,336,341,336,341
"5768",1999-05-27,338.5,343.5,338.5,343.5,338.5,343.5
"5767",1999-05-28,339,344,339,344,339,344
"5766",1999-05-31,338,343,337,342,337.5,342.5
"5765",1999-06-01,338,343,338,343,338,343
"5761",1999-06-02,340,345,339,344,339.5,344.5
"5760",1999-06-03,342,346,341,346,341.17,346
"5759",1999-06-04,340.75,345.75,340,345,340.38,345.38
"5758",1999-06-07,344,349,341,346,341.355,347.33
"5755",1999-06-08,344,349,341,346,342.33,347.33
"5754",1999-06-09,345.9,350.9,345,350,345.45,350.45
"5753",1999-06-10,349.5,354.5,348,353,348.83,353.83
"5752",1999-06-11,348.9,353.9,346,351,346.97,351.97
"5751",1999-06-14,342.5,347.5,340,345,340.83,345.83
"5748",1999-06-15,334,339,333,338,333.33,338.33
"5747",1999-06-16,337,342,335,340,336.5,341.5
"5746",1999-06-17,336,341,335,340,335.5,340.5
"5745",1999-06-18,336.95,341.95,336,341,336.19,341.19
"5744",1999-06-21,339.5,344.5,337,342,337.63,342.63
"5741",1999-06-22,333,338,331,336,332,337
"5740",1999-06-23,331,336,330,335,330.5,335.5
"5739",1999-06-24,326,331,324,329,325,330
"5738",1999-06-25,328,333,327,332,327.33,332.33
"5737",1999-06-28,329,334,327,332,328,333
"5734",1999-06-29,324,329,323,328,323.33,328.33
"5733",1999-06-30,321,326,321,326,321,326
"5732",1999-07-01,320,325,319,324,319.5,324.5
"5731",1999-07-02,319,324,318,323,318.5,323.5
"5730",1999-07-05,316.5,321.5,315,320,315.63,320.63
"5727",1999-07-06,313,318,313,318,313,318
"5726",1999-07-07,314,319,313.15,318.15,313.58,318.58
"5725",1999-07-08,320,325,319.15,324.15,319.72,324.72
"5724",1999-07-09,331,336,328,333,329.25,334.25
"5723",1999-07-12,329,334,329,334,329,334
"5720",1999-07-13,332.95,337.95,332.95,337.95,332.95,337.95
"5719",1999-07-14,337.6,342.6,337,342,337.3,342.3
"5718",1999-07-15,342,347,333,338,335.25,340.25
"5717",1999-07-16,335,340,333,338,333.67,338.67
"5716",1999-07-19,335.5,340.5,333,338,334.36,339.36
"5713",1999-07-20,335,340,334,339,334.75,339.75
"5712",1999-07-21,336,341,336,341,336,341
"5711",1999-07-22,339.5,344.5,338,343,338.5,343.5
"5710",1999-07-23,340,345,339,344,339.67,344.67
"5709",1999-07-26,342,347,340,345,341,346
"5706",1999-07-27,341,346,339,344,339.5,344.5
"5705",1999-07-28,335.3,340.3,332,337,333.26,338.26
"5704",1999-07-29,337.5,342.5,336,341,336.83,341.83
"5703",1999-07-30,341,346,339,344,340,345
"5702",1999-08-02,334.35,339.35,332,337,332.84,337.84
"5699",1999-08-03,330,335,329.25,334.25,329.63,334.63
"5698",1999-08-04,337,342,332,337,335,340
"5697",1999-08-05,341,346,340,345,340.67,345.67
"5696",1999-08-06,337,342,336,341,336.5,341.5
"5695",1999-08-09,340,345,336,341,338.67,343.67
"5692",1999-08-10,343,348,339,344,341,346
"5691",1999-08-11,340,345,337,342,338.2,343.2
"5690",1999-08-12,340,345,338,343,338.5,343.5
"5689",1999-08-13,341,346,341,346,341,346
"5688",1999-08-16,337,342,337,342,337,342
"5685",1999-08-17,336,341,335.5,340.5,335.83,340.83
"5684",1999-08-18,338,343,337,342,337.5,342.5
"5683",1999-08-19,340,345,339,343,339.6,344
"5682",1999-08-20,342.6,347.6,342.6,347.6,342.6,347.6
"5681",1999-08-23,343.5,348.5,343,348,343.25,348.25
"5678",1999-08-24,343,348,341,346,342,347
"5677",1999-08-25,340.1,345.1,337,342,338.55,343.55
"5676",1999-08-26,339,344,338,343,338.5,343.5
"5675",1999-08-27,337,342,337,342,337,342
"5674",1999-08-30,335,340,335,340,335,340
"5671",1999-08-31,338,342,335.2,340.2,336.6,341.1
"5670",1999-09-01,340,345,339,344,339.67,344.33
"5669",1999-09-02,340,345,338,343,339.5,344.5
"5668",1999-09-03,350.45,355.45,350.45,355.45,350.45,355.45
"5667",1999-09-06,349.55,354.55,347,352,348.02,353.02
"5664",1999-09-07,351.5,356.5,350.5,355.5,351,356
"5663",1999-09-08,354.25,358.5,353.5,356.25,353.88,357.38
"5662",1999-09-09,352,357,349.5,354.5,350.75,355.75
"5661",1999-09-10,359,364,356,361,357.5,362.5
"5660",1999-09-13,359.5,364.5,359.5,364.5,359.5,364.5
"5657",1999-09-14,367.5,372.5,365,370,366.25,371.25
"5656",1999-09-15,367,372,363,368,365.33,370
"5655",1999-09-16,365,370,364,369,364.5,369.5
"5654",1999-09-17,367,372,366,371,366.5,371.5
"5653",1999-09-20,360,365,359,364,359.5,364.25
"5650",1999-09-21,359,364,359,364,359,364
"5649",1999-09-22,365,369,363.7,368.7,364.23,368.9
"5648",1999-09-23,364,368.5,363.5,368,363.75,368.25
"5647",1999-09-24,361,366,359,363,360,364.5
"5646",1999-09-27,355.4,360.4,355.4,360.4,355.4,360.4
"5643",1999-09-28,366,371,360.5,365.5,362.93,367.5
"5642",1999-09-29,398,404,375,380,386.75,391.88
"5641",1999-09-30,390,395,376,380,382.21,387.05
"5640",1999-10-01,377,382,368,373,375.47,380.26
"5639",1999-10-04,380,385,374.75,379.75,379.19,384.19
"5636",1999-10-05,389,394,383,388,386.31,391.31
"5635",1999-10-06,383,388,380,385,381.68,386.68
"5634",1999-10-07,383,388,380,385,380.92,385.92
"5633",1999-10-08,390,395,387,392,388.82,393.82
"5632",1999-10-11,389,394,387,392,387.25,392.25
"5629",1999-10-12,394,399,392.6,397.6,393.65,398.65
"5628",1999-10-13,390.5,395.5,387,392,388.15,393.15
"5627",1999-10-14,384,389,380,385,382,387
"5626",1999-10-15,377,382,375,380,376,381
"5625",1999-10-18,378,383,375.7,380.7,376.53,381.53
"5622",1999-10-19,375,380,373,378,373.86,378.86
"5621",1999-10-20,378,382,374,379,377.14,381.57
"5620",1999-10-21,385.9,390.9,385,389,385.3,389.97
"5619",1999-10-22,385,390,383,388,384.29,389
"5618",1999-10-25,390,395,388,393,389.38,394.38
"5615",1999-10-26,392,397,390,395,391.06,396.06
"5614",1999-10-27,393,398,388,393,390.46,395.46
"5613",1999-10-28,391,396,389,394,390.57,395.57
"5612",1999-10-29,389,394,388,393,388.71,393.71
"5611",1999-11-01,393,398,390,395,391.33,396.33
"5608",1999-11-02,391,396,388.75,393.75,390.18,395.18
"5607",1999-11-03,390,395,387.7,392.7,389.14,394.14
"5606",1999-11-04,390,395,389.15,394.15,389.73,394.73
"5605",1999-11-05,393,398,391,396,392,397
"5604",1999-11-08,391,396,384,389,390,395
"5601",1999-11-09,395,400,394,399,394.5,399.5
"5600",1999-11-10,402,407,401,406,401.83,406.83
"5599",1999-11-11,413,418,410,415,411.1,416.1
"5598",1999-11-12,416,421,412.5,417.5,414.25,419.25
"5597",1999-11-15,415,422.25,412,417,413.75,419.31
"5594",1999-11-16,416,421,412.5,417.5,413.92,418.92
"5593",1999-11-17,413,418,405,410,409.56,414.56
"5592",1999-11-18,410,415,404,409,407,412
"5591",1999-11-19,398,403,396,401,397.29,402.29
"5590",1999-11-22,396,401,393,398,395.33,400.17
"5587",1999-11-23,403,408,402,407,402.33,407.33
"5586",1999-11-24,403,408,399,404,401.5,406.5
"5585",1999-11-25,401.4,406.4,399,404,400.08,405.08
"5584",1999-11-26,398,403,395,400,395.75,400.75
"5583",1999-11-29,396,401,395,400,395.25,400.25
"5580",1999-11-30,395,400,395,400,395,400
"5579",1999-12-01,396,401,395,400,395.2,400.2
"5578",1999-12-02,399,404,392.5,397.5,397.21,402.21
"5577",1999-12-03,399,404,398,403,398.8,403.8
"5576",1999-12-06,402,407,399,404,401,406
"5573",1999-12-07,408.5,413.5,407,412,407.75,412.75
"5572",1999-12-08,408,413,406,411,407,412
"5571",1999-12-09,407,412,407,412,407,412
"5570",1999-12-10,413,418,406,411,410.43,415.43
"5569",1999-12-13,418,423,416,421,417,422
"5566",1999-12-14,426,431,422,427,424.25,429.25
"5565",1999-12-15,435,440,427.5,432.5,430.83,435.83
"5564",1999-12-16,430,435,427.75,432.75,429.35,434.35
"5563",1999-12-17,439,444,436.25,441,437.31,441.81
"5562",1999-12-20,446,451,441,446,443.5,448.5
"5559",1999-12-21,439,444,436,441,437.25,442.25
"5558",1999-12-22,437,442,436,441,436.8,441.8
"5557",1999-12-23,439.4,444.4,438,443,438.8,443.8
"5556",1999-12-24,442,447,441,446,441.67,446.67
"5555",1999-12-27,441,446,441,446,441,446
"5552",1999-12-28,441,446,441,446,441,446
"5551",1999-12-29,445.5,450.5,445,450,445.17,450.17
"5550",1999-12-30,452,457,450,455,451,456
"5549",1999-12-31,446,451,443,448,444.5,449.5
"5548",2000-01-03,447.25,452.25,447,452,447.13,452.13
"5545",2000-01-04,450,455,444,449,446,451
"5544",2000-01-05,438.25,443.25,437,442,437.78,442.78
"5543",2000-01-06,435,440,434,438,434.5,439.25
"5542",2000-01-07,434,439,432,437,433.17,438
"5541",2000-01-10,441.9,445,440,445,440.63,445
"5538",2000-01-11,450,455,445,450,448.17,453.17
"5537",2000-01-12,451,456,447,452,449.33,454.33
"5536",2000-01-13,451,456,439,444,447,452
"5535",2000-01-14,445,450,438,443,440.44,445.44
"5534",2000-01-17,438,443,438,443,438,443
"5531",2000-01-18,437,442,437,442,437,442
"5530",2000-01-19,437,442,434,439,435.14,440.14
"5528",2000-01-20,442,447,439,444,440.57,445.57
"5527",2000-01-21,449,454,448,453,448.2,453.2
"5524",2000-01-24,459,464,455,460,456.33,461.33
"5523",2000-01-25,473,478,468,473,470.66,475.65
"5522",2000-01-26,475,480,470,475,471.76,477.86
"5521",2000-01-27,475,480,470,475,472.86,477.86
"5520",2000-01-28,490.5,495.5,481,486,486.86,491.86
"5517",2000-01-31,483,488,479,484,481.17,486.17
"5516",2000-02-01,482,487,477,482,479.67,484.67
"5515",2000-02-02,493,498,486,491,489.75,494.75
"5514",2000-02-03,500,505,492,497,497.08,502.08
"5513",2000-02-04,516,521,506,511,511.89,516.89
"5510",2000-02-07,526,531,522,527,525.61,530.61
"5509",2000-02-08,557,562,535,540,546.36,551.36
"5508",2000-02-09,585,595,558,568,578.06,587.47
"5507",2000-02-10,595,605,570,580,582.38,592.38
"5506",2000-02-11,575,585,575,585,575,585
"5503",2000-02-14,588,599,585,595,585.3,595.39
"5502",2000-02-15,620,630,600,610,610.25,620.25
"5501",2000-02-16,657,667,645,655,653.83,663.83
"5500",2000-02-17,718,728,700,710,707.78,717.78
"5499",2000-02-18,705,720,690,710,698.75,716.25
"5496",2000-02-21,730,750,675,690,709.62,728.85
"5495",2000-02-22,775,800,760,785,766.11,791.67
"5494",2000-02-23,802,870,790,832,797.2,847.2
"5493",2000-02-24,730,780,675,725,707.5,757.5
"5492",2000-02-25,675,725,670,710,673.75,720
"5488",2000-02-28,665,715,660,710,661.88,711.88
"5487",2000-02-29,700,750,680,730,691.67,740
"5486",2000-03-01,702,745,695,740,699.67,740.78
"5485",2000-03-02,680,725,675,720,679.17,720.83
"5482",2000-03-03,651,701,640,680,641.78,682.89
"5481",2000-03-06,642,692,630,660,638.555,675.33
"5480",2000-03-07,642,692,630,660,635.33,675.33
"5479",2000-03-08,652,702,645,685,646,687.43
"5478",2000-03-09,697,747,680,720,692,727.45
"5475",2000-03-10,685,729,679,710,681.13,713.63
"5474",2000-03-13,685,730,680,715,683.13,719.38
"5473",2000-03-14,685,730,680,710,682,715.64
"5472",2000-03-15,685,735,685,715,685,717.86
"5471",2000-03-16,694,744,690,720,690.44,722.67
"5468",2000-03-17,708,758,700,730,702,737
"5467",2000-03-20,700,750,700,730,700,734
"5466",2000-03-21,682,732,675,705,679.5,712.83
"5465",2000-03-22,651,701,650,680,650.2,684.2
"5464",2000-03-23,650,694,644,680,649.33,681.56
"5461",2000-03-24,635,684,625,655,633.43,666.29
"5460",2000-03-27,615,660,610,640,610.63,644.38
"5459",2000-03-28,608,650,600,635,605.13,637.63
"5458",2000-03-29,610,657,605,635,608.56,640.78
"5457",2000-03-30,602,652,600,630,600.25,632.75
"5454",2000-03-31,595,645,585,605,588.75,626.25
"5453",2000-04-03,585,625,575,605,582.5,608.75
"5452",2000-04-04,578,620,570,593,571.6,602.6
"5451",2000-04-05,590,635,585,610,588.75,616.25
"5450",2000-04-06,590,630,580,610,588.89,616.67
"5447",2000-04-07,580,625,565,595,575,607.5
"5446",2000-04-10,570,610,560,595,565.56,597.78
"5445",2000-04-11,550,580,530,565,543.75,571.25
"5444",2000-04-12,555,600,550,565,554.09,575
"5438",2000-04-13,555,600,550,565,552,574.33
"5437",2000-04-14,550,595,545,565,549.29,572.86
"5436",2000-04-17,570,610,560,590,568.33,593.33
"5433",2000-04-18,570,610,560,585,568.21,590.36
"5432",2000-04-19,575,625,575,590,575,597.5
"5431",2000-04-20,565,605,555,580,563.75,586.25
"5430",2000-04-21,570,590,540,590,563.125,590
"5429",2000-04-24,570,590,540,590,562.8125,590
"5426",2000-04-25,570,590,540,590,562.65625,590
"5425",2000-04-26,570,590,540,590,562.5,590
"5424",2000-04-27,570,600,550,580,562.92,586.38
"5423",2000-04-28,595,610,555,600,582.92,601.25
"5422",2000-05-01,600,630,565,615,596.5,628.5
"5419",2000-05-02,615,635,580,630,610,632.73
"5418",2000-05-03,590,620,565,605,588.68,608.68
"5417",2000-05-04,585,615,565,585,576.92,594.72
"5416",2000-05-05,585,610,560,590,577.73,596.36
"5415",2000-05-08,580,615,565,590,575,596.43
"5412",2000-05-09,575,605,555,585,571.11,590
"5411",2000-05-10,575,605,555,585,572,590.33
"5410",2000-05-11,575,605,555,585,571.36,594.09
"5409",2000-05-12,572,600,550,585,568.75,588.75
"5408",2000-05-15,550,600,550,600,550,600
"5405",2000-05-16,550,600,550,600,550,600
