"","Date","Bid.High","Ask.High","Bid.Low","Ask.Low","Bid.Average","Ask.Average"
"5916",1999-01-01,5.03,5.06,5.01,5.04,5.02,5.05
"5915",1999-01-04,5.03,5.06,5.01,5.04,5.02,5.05
"5914",1999-01-05,4.92,4.95,4.91,4.94,4.92,4.95
"5913",1999-01-06,5.04,5.06,5.03,5.06,5.04,5.06
"5912",1999-01-07,5.17,5.19,5.14,5.17,5.16,5.18
"5909",1999-01-08,5.26,5.29,5.22,5.25,5.24,5.27
"5908",1999-01-11,5.28,5.31,5.28,5.31,5.28,5.31
"5907",1999-01-12,5.36,5.39,5.36,5.39,5.36,5.39
"5906",1999-01-13,5.22,5.25,5.17,5.2,5.2,5.23
"5905",1999-01-14,5.19,5.22,5.17,5.2,5.18,5.21
"5902",1999-01-15,5.14,5.16,5.13,5.16,5.14,5.16
"5901",1999-01-18,5.12,5.14,5.11,5.13,5.12,5.14
"5900",1999-01-19,5.12,5.15,5.11,5.13,5.11,5.14
"5899",1999-01-20,5.13,5.15,5.13,5.15,5.13,5.15
"5898",1999-01-21,5.16,5.18,5.15,5.17,5.15,5.17
"5895",1999-01-22,5.11,5.13,5.09,5.12,5.1,5.12
"5894",1999-01-25,5.09,5.12,5.09,5.11,5.09,5.12
"5893",1999-01-26,5.16,5.19,5.16,5.19,5.16,5.19
"5892",1999-01-27,5.1,5.13,5.1,5.13,5.1,5.13
"5891",1999-01-28,5.1,5.13,5.08,5.11,5.09,5.12
"5888",1999-01-29,5.23,5.26,5.22,5.25,5.23,5.26
"5887",1999-02-01,5.26,5.28,5.23,5.26,5.25,5.27
"5886",1999-02-02,5.32,5.35,5.32,5.34,5.32,5.35
"5885",1999-02-03,5.45,5.47,5.44,5.46,5.44,5.46
"5884",1999-02-04,5.52,5.54,5.51,5.53,5.51,5.53
"5881",1999-02-05,5.78,5.8,5.73,5.76,5.76,5.78
"5880",1999-02-08,5.64,5.67,5.61,5.63,5.62,5.65
"5879",1999-02-09,5.58,5.61,5.55,5.58,5.56,5.59
"5878",1999-02-10,5.51,5.54,5.5,5.53,5.51,5.54
"5877",1999-02-11,5.47,5.5,5.45,5.48,5.46,5.49
"5874",1999-02-12,5.57,5.59,5.56,5.58,5.56,5.59
"5873",1999-02-15,5.73,5.76,5.68,5.71,5.71,5.74
"5872",1999-02-16,5.73,5.76,5.7,5.73,5.72,5.75
"5871",1999-02-17,5.43,5.45,5.4,5.42,5.41,5.44
"5870",1999-02-18,5.41,5.44,5.4,5.42,5.41,5.43
"5867",1999-02-19,5.55,5.58,5.55,5.57,5.55,5.57
"5866",1999-02-22,5.62,5.65,5.59,5.62,5.61,5.63
"5865",1999-02-23,5.49,5.52,5.45,5.48,5.47,5.5
