DATE,GFDEGDQ188S
1966-01-01,40.25934
1966-04-01,39.16197
1966-07-01,39.56491
1966-10-01,39.44583
1967-01-01,39.11690
1967-04-01,37.94019
1967-07-01,38.75959
1967-10-01,39.02430
1968-01-01,38.35579
1968-04-01,36.88669
1968-07-01,37.24934
1968-10-01,36.90530
1969-01-01,36.12007
1969-04-01,34.89308
1969-07-01,34.94956
1969-10-01,35.38114
1970-01-01,35.31059
1970-04-01,34.58467
1970-07-01,34.79022
1970-10-01,35.65475
1971-01-01,34.42291
1971-04-01,34.26949
1971-07-01,34.92870
1971-10-01,35.53421
1972-01-01,34.63621
1972-04-01,33.57433
1972-07-01,33.53946
1972-10-01,33.66856
1973-01-01,33.21595
1973-04-01,32.26006
1973-07-01,32.05803
1973-10-01,31.71407
1974-01-01,31.69128
1974-04-01,30.91050
1974-07-01,30.79616
1974-10-01,30.73380
1975-01-01,31.46912
1975-04-01,32.18863
1975-07-01,32.30500
1975-10-01,32.65529
1976-01-01,32.91242
1976-04-01,33.41145
1976-07-01,33.57318
1976-10-01,33.71536
1977-01-01,33.58573
1977-04-01,32.73646
1977-07-01,32.92708
1977-10-01,33.15063
1978-01-01,33.41128
1978-04-01,32.05666
1978-07-01,32.16286
1978-10-01,31.79518
1979-01-01,31.47441
1979-04-01,31.00698
1979-07-01,30.95127
1979-10-01,30.94864
1980-01-01,30.87588
1980-04-01,31.34405
1980-07-01,31.73731
1980-10-01,31.07407
1981-01-01,30.79799
1981-04-01,30.66299
1981-07-01,30.59776
1981-10-01,31.32991
1982-01-01,32.41787
1982-04-01,32.40885
1982-07-01,33.91775
1982-10-01,35.12737
1983-01-01,35.75799
1983-04-01,36.82027
1983-07-01,37.29998
1983-10-01,37.16167
1984-01-01,37.40929
1984-04-01,37.67614
1984-07-01,38.46640
1984-10-01,40.09460
1985-01-01,40.37590
1985-04-01,41.24866
1985-07-01,41.48542
1985-10-01,43.69854
1986-01-01,43.99169
1986-04-01,45.20830
1986-07-01,46.00597
1986-10-01,47.43301
1987-01-01,47.43696
1987-04-01,47.89621
1987-07-01,47.95985
1987-10-01,48.41479
1988-01-01,48.86543
1988-04-01,48.92088
1988-07-01,49.10255
1988-10-01,49.59421
1989-01-01,49.58790
1989-04-01,49.74608
1989-07-01,50.02894
1989-10-01,51.23662
1990-01-01,51.80858
1990-04-01,52.61808
1990-07-01,53.62486
1990-10-01,55.86310
1991-01-01,57.22981
1991-04-01,57.58808
1991-07-01,58.94263
1991-10-01,60.54338
1992-01-01,60.82763
1992-04-01,61.37512
1992-07-01,61.71094
1992-10-01,62.36620
1993-01-01,62.69214
1993-04-01,63.72194
1993-07-01,63.89553
1993-10-01,64.49293
1994-01-01,64.12140
1994-04-01,63.90509
1994-07-01,63.82736
1994-10-01,64.20179
1995-01-01,64.46554
1995-04-01,65.10746
1995-07-01,64.54244
1995-10-01,63.96140
1996-01-01,64.83835
1996-04-01,64.02101
1996-07-01,64.03706
1996-10-01,64.23461
1997-01-01,64.04251
1997-04-01,62.86470
1997-07-01,62.27908
1997-10-01,62.61024
1998-01-01,62.34638
1998-04-01,61.67978
1998-07-01,60.41852
1998-10-01,60.20188
1999-01-01,59.82379
1999-04-01,59.00154
1999-07-01,58.23834
1999-10-01,58.19094
2000-01-01,57.55532
2000-04-01,55.31961
2000-07-01,54.78358
2000-10-01,54.06858
2001-01-01,54.94550
2001-04-01,53.83163
2001-07-01,54.58407
2001-10-01,55.53932
2002-01-01,55.43461
2002-04-01,56.02751
2002-07-01,56.43022
2002-10-01,57.68915
2003-01-01,57.53100
2003-04-01,58.66084
2003-07-01,58.35045
2003-10-01,59.22033
2004-01-01,59.48305
2004-04-01,59.71675
2004-07-01,59.66369
2004-10-01,60.46843
2005-01-01,60.69224
2005-04-01,60.40116
2005-07-01,60.07151
2005-10-01,61.05694
2006-01-01,61.33207
2006-04-01,61.01571
2006-07-01,61.16386
2006-10-01,61.70906
2007-01-01,62.17610
2007-04-01,61.48582
2007-07-01,61.82467
2007-10-01,62.84620
2008-01-01,64.33943
2008-04-01,64.07900
2008-07-01,67.53848
2008-10-01,73.53844
2009-01-01,77.35699
2009-04-01,80.50864
2009-07-01,82.79830
2009-10-01,84.51817
2010-01-01,87.00407
2010-04-01,88.67047
2010-07-01,90.06460
2010-10-01,92.08814
2011-01-01,93.64593
2011-04-01,92.76991
2011-07-01,94.88818
2011-10-01,96.43737
2012-01-01,97.70023
2012-04-01,98.34502
2012-07-01,99.00358
2012-10-01,100.83069
2013-01-01,101.79626
2013-04-01,101.19053
2013-07-01,99.93332
2013-10-01,100.91901
2014-01-01,103.34620
2014-04-01,101.79947
2014-07-01,101.14522
2014-10-01,102.28638
2015-01-01,101.55158
2015-04-01,100.32484
2015-07-01,99.57718
2015-10-01,103.47211
2016-01-01,105.12820
2016-04-01,104.55038
2016-07-01,104.50803
2016-10-01,105.66650
2017-01-01,104.13856
2017-04-01,103.08854
2017-07-01,103.77218
