DATE,EXPGS
1947-01-01,18.394
1947-04-01,19.497
1947-07-01,19.433
1947-10-01,17.636
1948-01-01,16.917
1948-04-01,15.241
1948-07-01,15.405
1948-10-01,14.625
1949-01-01,16.082
1949-04-01,15.647
1949-07-01,14.115
1949-10-01,12.091
1950-01-01,11.704
1950-04-01,11.872
1950-07-01,12.293
1950-10-01,13.531
1951-01-01,15.043
1951-04-01,17.121
1951-07-01,18.052
1951-10-01,18.18
1952-01-01,18.679
1952-04-01,16.581
1952-07-01,15.246
1952-10-01,15.329
1953-01-01,15.128
1953-04-01,15.196
1953-07-01,15.755
1953-10-01,15.172
1954-01-01,14.424
1954-04-01,16.438
1954-07-01,15.878
1954-10-01,16.605
1955-01-01,17.273
1955-04-01,16.942
1955-07-01,18.145
1955-10-01,18.349
1956-01-01,19.365
1956-04-01,20.882
1956-07-01,21.822
1956-10-01,23.068
1957-01-01,24.919
1957-04-01,24.369
1957-07-01,23.759
1957-10-01,23.022
1958-01-01,20.534
1958-04-01,20.546
1958-07-01,20.595
1958-10-01,20.563
1959-01-01,21.801
1959-04-01,22.556
1959-07-01,23.466
1959-10-01,23.078
1960-01-01,26.005
1960-04-01,27.614
1960-07-01,27.044
1960-10-01,27.516
1961-01-01,27.455
1961-04-01,27.432
1961-07-01,27.235
1961-10-01,28.286
1962-01-01,28.264
1962-04-01,30.684
1962-07-01,28.95
1962-10-01,28.364
1963-01-01,29.068
1963-04-01,32.423
1963-07-01,30.619
1963-10-01,32.187
1964-01-01,34.241
1964-04-01,34.796
1964-07-01,34.806
1964-10-01,36.233
1965-01-01,33.058
1965-04-01,39.136
1965-07-01,36.931
1965-10-01,39.46
1966-01-01,39.407
1966-04-01,41.472
1966-07-01,40.376
1966-10-01,42.425
1967-01-01,43.995
1967-04-01,43.54
1967-07-01,42.439
1967-10-01,43.892
1968-01-01,45.498
1968-04-01,47.358
1968-07-01,49.529
1968-10-01,49.238
1969-01-01,43.974
1969-04-01,53.915
1969-07-01,53.34
1969-10-01,56.459
1970-01-01,56.913
1970-04-01,60.589
1970-07-01,60.274
1970-10-01,61.058
1971-01-01,63.074
1971-04-01,63.103
1971-07-01,65.393
1971-10-01,60.282
1972-01-01,68.639
1972-04-01,67.152
1972-07-01,71.453
1972-10-01,76.129
1973-01-01,83.959
1973-04-01,91.923
1973-07-01,97.576
1973-10-01,107.62
1974-01-01,116.709
1974-04-01,126.668
1974-07-01,126.638
1974-10-01,136.585
1975-01-01,141.369
1975-04-01,136.827
1975-07-01,134.098
1975-10-01,142.531
1976-01-01,143.588
1976-04-01,146.621
1976-07-01,151.775
1976-10-01,156.076
1977-01-01,155.354
1977-04-01,161.906
1977-07-01,162.325
1977-10-01,157.809
1978-01-01,164.599
1978-04-01,186.216
1978-07-01,191.302
1978-10-01,205.415
1979-01-01,211.669
1979-04-01,220.906
1979-07-01,234.278
1979-10-01,253.665
1980-01-01,268.508
1980-04-01,277.389
1980-07-01,284.673
1980-10-01,292.517
1981-01-01,305.468
1981-04-01,308.454
1981-07-01,302.337
1981-10-01,304.694
1982-01-01,293.202
1982-04-01,294.728
1982-07-01,279.634
1982-10-01,265.275
1983-01-01,270.701
1983-04-01,272.515
1983-07-01,278.181
1983-10-01,286.588
1984-01-01,292.973
1984-04-01,302.201
1984-07-01,305.745
1984-10-01,308.605
1985-01-01,306.008
1985-04-01,304.126
1985-07-01,297.273
1985-10-01,305.434
1986-01-01,313.405
1986-04-01,315.119
1986-07-01,320.476
1986-10-01,335.0
1987-01-01,336.45
1987-04-01,355.36
1987-07-01,371.855
1987-10-01,392.107
1988-01-01,418.728
1988-04-01,439.472
1988-07-01,453.586
1988-10-01,466.619
1989-01-01,485.189
1989-04-01,507.229
1989-07-01,509.352
1989-10-01,515.387
1990-01-01,538.235
1990-04-01,545.926
1990-07-01,555.149
1990-10-01,568.186
1991-01-01,573.177
1991-04-01,590.733
1991-07-01,600.596
1991-10-01,615.216
1992-01-01,625.283
1992-04-01,626.163
1992-07-01,639.365
1992-10-01,641.397
1993-01-01,643.603
1993-04-01,653.094
1993-07-01,650.897
1993-10-01,671.6
1994-01-01,681.231
1994-04-01,706.988
1994-07-01,736.883
1994-10-01,758.649
1995-01-01,781.573
1995-04-01,798.851
1995-07-01,831.399
1995-10-01,839.422
1996-01-01,847.94
1996-04-01,859.046
1996-07-01,859.577
1996-10-01,903.797
1997-01-01,918.374
1997-04-01,954.45
1997-07-01,974.057
1997-10-01,968.334
1998-01-01,963.021
1998-04-01,947.295
1998-07-01,935.263
1998-10-01,966.34
1999-01-01,961.573
1999-04-01,972.753
1999-07-01,1002.42
1999-10-01,1031.175
2000-01-01,1054.005
2000-04-01,1092.723
2000-07-01,1125.202
2000-10-01,1115.402
2001-01-01,1096.683
2001-04-01,1054.592
2001-07-01,998.51
2001-10-01,957.053
2002-01-01,973.326
2002-04-01,1007.493
2002-07-01,1021.602
2002-10-01,1007.614
2003-01-01,1011.49
2003-04-01,1012.331
2003-07-01,1042.523
2003-10-01,1094.772
2004-01-01,1141.286
2004-04-01,1172.31
2004-07-01,1185.987
2004-10-01,1226.443
2005-01-01,1268.2
2005-04-01,1300.133
2005-07-01,1310.884
2005-10-01,1356.376
2006-01-01,1417.188
2006-04-01,1463.415
2006-07-01,1480.136
2006-10-01,1544.523
2007-01-01,1580.47
2007-04-01,1625.07
2007-07-01,1687.522
2007-10-01,1765.432
2008-01-01,1814.612
2008-04-01,1920.458
2008-07-01,1923.587
2008-10-01,1709.112
2009-01-01,1519.493
2009-04-01,1522.743
2009-07-01,1596.44
2009-10-01,1712.284
2010-01-01,1753.227
2010-04-01,1814.026
2010-07-01,1869.845
2010-10-01,1972.239
2011-01-01,2033.325
2011-04-01,2108.323
2011-07-01,2142.856
2011-10-01,2140.977
2012-01-01,2169.572
2012-04-01,2199.803
2012-07-01,2209.354
2012-10-01,2214.0
2013-01-01,2242.211
2013-04-01,2253.056
2013-07-01,2274.106
2013-10-01,2337.059
2014-01-01,2339.988
2014-04-01,2391.261
2014-07-01,2388.97
2014-10-01,2374.374
2015-01-01,2289.041
2015-04-01,2303.945
2015-07-01,2256.619
2015-10-01,2210.06
2016-01-01,2166.532
2016-04-01,2201.807
2016-07-01,2248.441
2016-10-01,2241.485
2017-01-01,2295.576
2017-04-01,2314.899
2017-07-01,2346.601
