Date,EUR/USD
1999-01-01,1.1729
1999-01-04,1.1825
1999-01-05,1.1776
1999-01-06,1.16
1999-01-07,1.1713
1999-01-08,1.1595
1999-01-11,1.1491
1999-01-12,1.1551
1999-01-13,1.1653
1999-01-14,1.1709
1999-01-15,1.159
1999-01-18,1.1605
1999-01-19,1.161
1999-01-20,1.1553
1999-01-21,1.16
1999-01-22,1.1587
1999-01-25,1.1555
1999-01-26,1.1561
1999-01-27,1.1432
1999-01-28,1.1421
1999-01-29,1.1367
1999-02-01,1.1312
1999-02-02,1.1348
1999-02-03,1.1319
1999-02-04,1.1335
1999-02-05,1.1265
1999-02-08,1.1325
1999-02-09,1.1289
1999-02-10,1.1345
1999-02-11,1.1233
1999-02-12,1.128
1999-02-15,1.123
1999-02-16,1.1201
1999-02-17,1.1237
1999-02-18,1.1203
1999-02-19,1.1063
1999-02-22,1.1036
1999-02-23,1.1005
1999-02-24,1.0986
1999-02-25,1.1044
1999-02-26,1.1016
1999-03-01,1.0886
1999-03-02,1.0918
1999-03-03,1.0889
1999-03-04,1.082
1999-03-05,1.0826
1999-03-08,1.0883
1999-03-09,1.0889
1999-03-10,1.0952
1999-03-11,1.1032
1999-03-12,1.0904
1999-03-15,1.0937
1999-03-16,1.1
1999-03-17,1.1004
1999-03-18,1.0971
1999-03-19,1.0886
1999-03-22,1.0915
1999-03-23,1.091
1999-03-24,1.0892
1999-03-25,1.0906
1999-03-26,1.0767
1999-03-29,1.0739
1999-03-30,1.0717
1999-03-31,1.0757
1999-04-01,1.0789
1999-04-02,1.0782
1999-04-05,1.0711
1999-04-06,1.0842
1999-04-07,1.0774
1999-04-08,1.0744
1999-04-09,1.0802
1999-04-12,1.0823
1999-04-13,1.0769
1999-04-14,1.0797
1999-04-15,1.0703
1999-04-16,1.07
1999-04-19,1.0633
1999-04-20,1.0627
1999-04-21,1.0619
1999-04-22,1.0616
1999-04-23,1.0612
1999-04-26,1.0586
1999-04-27,1.0665
1999-04-28,1.0623
1999-04-29,1.0591
1999-04-30,1.0584
1999-05-03,1.0577
1999-05-04,1.0633
1999-05-05,1.0744
1999-05-06,1.0815
1999-05-07,1.075
1999-05-10,1.08
1999-05-11,1.0715
1999-05-12,1.0649
1999-05-13,1.0666
1999-05-14,1.0652
1999-05-17,1.0669
1999-05-18,1.0686
1999-05-19,1.0659
1999-05-20,1.0631
1999-05-21,1.0579
1999-05-24,1.0592
1999-05-25,1.0593
1999-05-26,1.0468
1999-05-27,1.0441
1999-05-28,1.0401
1999-05-31,1.042
1999-06-01,1.0448
1999-06-02,1.0348
1999-06-03,1.0325
1999-06-04,1.0373
1999-06-07,1.0284
1999-06-08,1.0458
1999-06-09,1.0471
1999-06-10,1.0482
1999-06-11,1.0542
1999-06-14,1.0422
1999-06-15,1.0422
1999-06-16,1.0313
1999-06-17,1.0342
1999-06-18,1.0387
1999-06-21,1.0348
1999-06-22,1.0323
1999-06-23,1.0328
1999-06-24,1.0408
1999-06-25,1.0431
1999-06-28,1.0361
1999-06-29,1.0335
1999-06-30,1.034
1999-07-01,1.0233
1999-07-02,1.0245
1999-07-05,1.0225
1999-07-06,1.0234
1999-07-07,1.0227
1999-07-08,1.021
1999-07-09,1.0174
1999-07-12,1.0156
1999-07-13,1.0173
1999-07-14,1.0212
1999-07-15,1.0207
1999-07-16,1.0196
1999-07-19,1.0301
1999-07-20,1.0413
1999-07-21,1.0523
1999-07-22,1.0523
1999-07-23,1.0514
1999-07-26,1.0661
1999-07-27,1.0621
1999-07-28,1.0662
1999-07-29,1.0726
1999-07-30,1.0707
1999-08-02,1.0689
1999-08-03,1.0686
1999-08-04,1.0775
1999-08-05,1.0758
1999-08-06,1.0759
1999-08-09,1.0706
1999-08-10,1.071
1999-08-11,1.0657
1999-08-12,1.0666
1999-08-13,1.0567
1999-08-16,1.0568
1999-08-17,1.0513
1999-08-18,1.0528
1999-08-19,1.0633
1999-08-20,1.0669
1999-08-23,1.0502
1999-08-24,1.0531
1999-08-25,1.0424
1999-08-26,1.0448
1999-08-27,1.0459
1999-08-30,1.0461
1999-08-31,1.0577
1999-09-01,1.0594
1999-09-02,1.069
1999-09-03,1.0615
1999-09-06,1.058
1999-09-07,1.059
1999-09-08,1.0594
1999-09-09,1.0537
1999-09-10,1.0357
1999-09-13,1.0414
1999-09-14,1.0355
1999-09-15,1.0396
1999-09-16,1.0406
1999-09-17,1.0413
1999-09-20,1.0385
1999-09-21,1.0485
1999-09-22,1.0446
1999-09-23,1.0439
1999-09-24,1.0452
1999-09-27,1.0474
1999-09-28,1.0547
1999-09-29,1.0638
1999-09-30,1.067
1999-10-01,1.0739
1999-10-04,1.0739
1999-10-05,1.0753
1999-10-06,1.0691
1999-10-07,1.0718
1999-10-08,1.0613
1999-10-11,1.064
1999-10-12,1.0759
1999-10-13,1.0789
1999-10-14,1.079
1999-10-15,1.0896
1999-10-18,1.0841
1999-10-19,1.0839
1999-10-20,1.0742
1999-10-21,1.082
1999-10-22,1.0669
1999-10-25,1.0662
1999-10-26,1.0585
1999-10-27,1.05
1999-10-28,1.0522
1999-10-29,1.0542
1999-11-01,1.0507
1999-11-02,1.0519
1999-11-03,1.048
1999-11-04,1.0359
1999-11-05,1.042
1999-11-08,1.0387
1999-11-09,1.0394
1999-11-10,1.0444
1999-11-11,1.042
1999-11-12,1.0319
1999-11-15,1.0317
1999-11-16,1.0325
1999-11-17,1.0407
1999-11-18,1.0293
1999-11-19,1.031
1999-11-22,1.0315
1999-11-23,1.0271
1999-11-24,1.019
1999-11-25,1.019
1999-11-26,1.0164
1999-11-29,1.0103
1999-11-30,1.0086
1999-12-01,1.0087
1999-12-02,1.0026
1999-12-03,1.0024
1999-12-06,1.0224
1999-12-07,1.0247
1999-12-08,1.0274
1999-12-09,1.0213
1999-12-10,1.012
1999-12-13,1.014
1999-12-14,1.0055
1999-12-15,1.007
1999-12-16,1.0167
1999-12-17,1.008
1999-12-20,1.0116
1999-12-21,1.0086
1999-12-22,1.0088
1999-12-23,1.0147
1999-12-24,1.013
1999-12-27,1.0126
1999-12-28,1.0059
1999-12-29,1.0054
1999-12-30,1.0087
1999-12-31,1.0107
