"Timestep","MG_Output"
"1",1.0107
"2",1.0229
"3",1.045
"4",1.0757
"5",1.1101
"6",1.1407
"7",1.1608
"8",1.1671
"9",1.161
"10",1.146
"11",1.1263
"12",1.1053
"13",1.0858
"14",1.0693
"15",1.0567
"16",1.0474
"17",1.0401
"18",1.0322
"19",1.0204
"20",1.0012
"21",0.97249
"22",0.93495
"23",0.89187
"24",0.8476
"25",0.80598
"26",0.76983
"27",0.74101
"28",0.72052
"29",0.70847
"30",0.70411
"31",0.70598
"32",0.71233
"33",0.72153
"34",0.73263
"35",0.74569
"36",0.76206
"37",0.78426
"38",0.815
"39",0.85525
"40",0.90261
"41",0.95212
"42",0.99901
"43",1.0405
"44",1.0758
"45",1.1056
"46",1.131
"47",1.1535
"48",1.1741
"49",1.1935
"50",1.2122
"51",1.2304
"52",1.248
"53",1.2653
"54",1.2821
"55",1.2974
"56",1.3086
"57",1.3105
"58",1.2981
"59",1.2701
"60",1.2289
"61",1.1785
"62",1.1228
"63",1.0646
"64",1.0057
"65",0.94742
"66",0.89034
"67",0.835
"68",0.78171
"69",0.73068
"70",0.68205
"71",0.63592
"72",0.59241
"73",0.55188
"74",0.51501
"75",0.48293
"76",0.45724
"77",0.44014
"78",0.43462
"79",0.44433
"80",0.47264
"81",0.52063
"82",0.58502
"83",0.65841
"84",0.73219
"85",0.79961
"86",0.85681
"87",0.90231
"88",0.93618
"89",0.95925
"90",0.97272
"91",0.97805
"92",0.97683
"93",0.97086
"94",0.96222
"95",0.95335
"96",0.94717
"97",0.94694
"98",0.95577
"99",0.97564
"100",1.0062
"101",1.0439
"102",1.0821
"103",1.1135
"104",1.134
"105",1.1436
"106",1.1447
"107",1.1411
"108",1.1359
"109",1.1316
"110",1.1298
"111",1.1313
"112",1.1356
"113",1.1416
"114",1.147
"115",1.1491
"116",1.144
"117",1.1279
"118",1.0989
"119",1.0586
"120",1.0118
"121",0.96331
"122",0.91675
"123",0.8743
"124",0.8369
"125",0.80451
"126",0.77644
"127",0.75153
"128",0.72858
"129",0.70656
"130",0.68498
"131",0.66396
"132",0.64441
"133",0.62809
"134",0.61788
"135",0.61771
"136",0.63172
"137",0.66224
"138",0.70783
"139",0.7634
"140",0.82272
"141",0.88073
"142",0.93442
"143",0.98238
"144",1.0242
"145",1.0597
"146",1.0893
"147",1.1131
"148",1.1315
"149",1.145
"150",1.1544
"151",1.1612
"152",1.1673
"153",1.1753
"154",1.1875
"155",1.2051
"156",1.2265
"157",1.2469
"158",1.2591
"159",1.2573
"160",1.2394
"161",1.2073
"162",1.1648
"163",1.1158
"164",1.0637
"165",1.011
"166",0.95947
"167",0.91039
"168",0.86424
"169",0.82098
"170",0.77996
"171",0.74012
"172",0.70044
"173",0.6606
"174",0.62127
"175",0.5839
"176",0.55035
"177",0.52267
"178",0.50324
"179",0.49495
"180",0.50105
"181",0.5243
"182",0.56538
"183",0.6215
"184",0.68692
"185",0.75501
"186",0.82033
"187",0.8793
"188",0.92987
"189",0.971
"190",1.0024
"191",1.0242
"192",1.0374
"193",1.0431
"194",1.0432
"195",1.0396
"196",1.0348
"197",1.0316
"198",1.033
"199",1.042
"200",1.0601
"201",1.087
"202",1.1191
"203",1.1498
"204",1.1715
"205",1.1793
"206",1.173
"207",1.1556
"208",1.1315
"209",1.1046
"210",1.0781
"211",1.0541
"212",1.0338
"213",1.0172
"214",1.0034
"215",0.99041
"216",0.97521
"217",0.95465
"218",0.92645
"219",0.89049
"220",0.84919
"221",0.80637
"222",0.76582
"223",0.73058
"224",0.70297
"225",0.68457
"226",0.67617
"227",0.67755
"228",0.68754
"229",0.7043
"230",0.72584
"231",0.75062
"232",0.77798
"233",0.80834
"234",0.84297
"235",0.88304
"236",0.92804
"237",0.97497
"238",1.0197
"239",1.0589
"240",1.0914
"241",1.1175
"242",1.1386
"243",1.1564
"244",1.1728
"245",1.189
"246",1.206
"247",1.224
"248",1.2427
"249",1.2614
"250",1.2788
"251",1.2929
"252",1.3004
"253",1.2965
"254",1.2776
"255",1.2436
"256",1.1979
"257",1.145
"258",1.0887
"259",1.0316
"260",0.97516
"261",0.92005
"262",0.86655
"263",0.81466
"264",0.76439
"265",0.71583
"266",0.66915
"267",0.62464
"268",0.58271
"269",0.54395
"270",0.50931
"271",0.48016
"272",0.45851
"273",0.44705
"274",0.44922
"275",0.4685
"276",0.50693
"277",0.5631
"278",0.63157
"279",0.70461
"280",0.77492
"281",0.83738
"282",0.88929
"283",0.92977
"284",0.95911
"285",0.97824
"286",0.98844
"287",0.9912
"288",0.9882
"289",0.98139
"290",0.97306
"291",0.96593
"292",0.96313
"293",0.96785
"294",0.98258
"295",1.0081
"296",1.0423
"297",1.0799
"298",1.1134
"299",1.1367
"300",1.1479
"301",1.1487
"302",1.1427
"303",1.1335
"304",1.1241
"305",1.1168
"306",1.1126
"307",1.1119
"308",1.1138
"309",1.1165
"310",1.1172
"311",1.1126
"312",1.0988
"313",1.0732
"314",1.0361
"315",0.99148
"316",0.94413
"317",0.89822
"318",0.85646
"319",0.8203
"320",0.79017
"321",0.76566
"322",0.74571
"323",0.72894
"324",0.714
"325",0.69988
"326",0.68628
"327",0.67374
"328",0.66382
"329",0.65929
"330",0.66405
"331",0.68213
"332",0.71561
"333",0.76249
"334",0.81733
"335",0.87401
"336",0.92803
"337",0.97707
"338",1.0204
"339",1.058
"340",1.0905
"341",1.118
"342",1.1412
"343",1.1603
"344",1.1757
"345",1.1881
"346",1.1986
"347",1.2088
"348",1.2208
"349",1.2362
"350",1.2547
"351",1.2726
"352",1.2835
"353",1.2812
"354",1.263
"355",1.2301
"356",1.1861
"357",1.1347
"358",1.0792
"359",1.0223
"360",0.96571
"361",0.91083
"362",0.8584
"363",0.80876
"364",0.76182
"365",0.71714
"366",0.6741
"367",0.63233
"368",0.59212
"369",0.55437
"370",0.5205
"371",0.49219
"372",0.47156
"373",0.46136
"374",0.46506
"375",0.48615
"376",0.52651
"377",0.58418
"378",0.65303
"379",0.72511
"380",0.79358
"381",0.85409
"382",0.90456
"383",0.94434
"384",0.97361
"385",0.99306
"386",1.0038
"387",1.0072
"388",1.0049
"389",0.999
"390",0.9917
"391",0.9858
"392",0.98445
"393",0.99081
"394",1.0072
"395",1.0339
"396",1.0682
"397",1.104
"398",1.1336
"399",1.1517
"400",1.157
"401",1.1519
"402",1.1401
"403",1.1253
"404",1.1106
"405",1.0982
"406",1.0893
"407",1.0839
"408",1.0813
"409",1.0794
"410",1.0753
"411",1.0654
"412",1.0461
"413",1.0159
"414",0.97616
"415",0.93116
"416",0.88547
"417",0.84276
"418",0.80544
"419",0.77487
"420",0.75145
"421",0.73477
"422",0.72369
"423",0.71668
"424",0.71218
"425",0.70904
"426",0.70685
"427",0.70632
"428",0.70941
"429",0.71938
"430",0.74
"431",0.77362
"432",0.81894
"433",0.87101
"434",0.92397
"435",0.97354
"436",1.0177
"437",1.0561
"438",1.0893
"439",1.1182
"440",1.1435
"441",1.1658
"442",1.1856
"443",1.2032
"444",1.2191
"445",1.2339
"446",1.2485
"447",1.2639
"448",1.2804
"449",1.2958
"450",1.305
"451",1.3018
"452",1.2829
"453",1.2492
"454",1.204
"455",1.1513
"456",1.0942
"457",1.0352
"458",0.97607
"459",0.91797
