Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
1999-01-01,1.1729,113.63,1.3741,1.6604,1.534,0.7064,133.27,1.6116,0.6081,188.67,82.7,2.2815,0
1999-01-04,1.1825,112.04,1.3671,1.656,1.5268,0.7138,132.44,1.617,0.621,185.6,81.93,2.2653,0
1999-01-05,1.1776,111.17,1.371,1.6547,1.5148,0.7117,130.91,1.6145,0.6221,183.95,81.09,2.2686,0
1999-01-06,1.16,113.01,1.3952,1.6544,1.5104,0.7012,131.09,1.6184,0.6299,186.96,81,2.3082,0
1999-01-07,1.1713,110.94,1.3779,1.6506,1.5127,0.7096,129.94,1.6139,0.6369,183.12,80.52,2.2743,0
1999-01-08,1.1595,110.89,1.3917,1.6445,1.5124,0.7051,131.05,1.6137,0.6347,182.37,79.69,2.2886,0
1999-01-11,1.1491,108.61,1.402,1.6299,1.5059,0.705,124.8,1.611,0.6402,177.03,77.47,2.285,0
1999-01-12,1.1551,112.48,1.3886,1.6305,1.5133,0.7083,129.93,1.604,0.6383,183.44,81,2.2645,0
1999-01-13,1.1653,113.15,1.3668,1.6478,1.52,0.7072,131.86,1.5927,0.6336,186.46,82.79,2.2521,0
1999-01-14,1.1709,113.43,1.3574,1.6568,1.5342,0.7067,132.82,1.5894,0.6313,187.94,83.56,2.249,0
1999-01-15,1.159,113.99,1.3793,1.6519,1.5281,0.7016,132.12,1.5986,0.635,188.65,82.65,2.2784,0
1999-01-18,1.1605,114.2,1.379,1.653,1.527,0.702,132.55,1.5985,0.634,188.85,82.95,2.2795,0
1999-01-19,1.161,113.5,1.375,1.655,1.5304,0.7015,131.78,1.5963,0.638,187.84,82.55,2.2755,0
1999-01-20,1.1553,112.86,1.3901,1.6452,1.5217,0.7022,130.39,1.6059,0.6391,185.68,81.19,2.2869,0
1999-01-21,1.16,113.64,1.384,1.6525,1.5187,0.702,131.82,1.6054,0.6425,187.78,82.11,2.287,0
1999-01-22,1.1587,114.67,1.3843,1.6543,1.5186,0.7004,132.86,1.604,0.6316,189.69,82.83,2.2901,0
1999-01-25,1.1555,113.94,1.3867,1.6568,1.5176,0.6974,131.65,1.6023,0.6305,188.77,82.16,2.2975,0
1999-01-26,1.1561,113.95,1.3893,1.6592,1.5199,0.6968,131.74,1.6061,0.6286,189.07,82.02,2.3051,0
1999-01-27,1.1432,115.72,1.4106,1.6445,1.5203,0.6952,132.29,1.6126,0.6288,190.29,82.03,2.3197,0
1999-01-28,1.1421,116.39,1.4103,1.65,1.5184,0.6921,132.93,1.6107,0.6263,192.05,82.53,2.3278,0
1999-01-29,1.1367,116.4,1.4141,1.6467,1.5105,0.6903,132.31,1.6074,0.6301,191.68,82.32,2.3285,0
1999-02-01,1.1312,115.07,1.4199,1.6418,1.5089,0.689,130.19,1.6062,0.6367,188.91,81.04,2.3312,0
1999-02-02,1.1348,112.05,1.4129,1.6395,1.5146,0.6922,127.15,1.6033,0.6389,183.71,79.31,2.3164,0
1999-02-03,1.1319,112.83,1.4149,1.6363,1.5129,0.6917,127.71,1.6016,0.6416,184.63,79.74,2.3153,0
1999-02-04,1.1335,112.35,1.4143,1.6451,1.4929,0.689,127.35,1.6032,0.649,184.83,79.44,2.3267,0
1999-02-05,1.1265,113.22,1.4214,1.6322,1.4893,0.6902,127.55,1.6012,0.6503,184.8,79.66,2.3201,0
1999-02-08,1.1325,114.51,1.415,1.6395,1.4909,0.6908,129.68,1.6025,0.6512,187.74,80.93,2.32,0
1999-02-09,1.1289,114.38,1.4208,1.6356,1.4958,0.6902,129.12,1.604,0.6454,187.07,80.5,2.3239,0
1999-02-10,1.1345,114.31,1.4059,1.6296,1.4891,0.6962,129.69,1.595,0.6461,186.28,81.31,2.2911,0
1999-02-11,1.1233,114.58,1.4269,1.6218,1.4933,0.6926,128.74,1.6028,0.6471,185.82,80.3,2.3141,0
1999-02-12,1.128,114.49,1.416,1.6312,1.4929,0.6915,129.15,1.5973,0.6455,186.76,80.86,2.3098,0
1999-02-15,1.123,115.45,1.422,1.626,1.4935,0.6906,129.65,1.597,0.6465,187.7,81.2,2.3122,0
1999-02-16,1.1201,118.78,1.4254,1.6338,1.495,0.6856,133.05,1.5966,0.636,194.06,83.33,2.3288,0
1999-02-17,1.1237,119.1,1.4226,1.6348,1.4955,0.6874,133.84,1.5986,0.6345,194.71,83.72,2.3257,0
1999-02-18,1.1203,119.82,1.4274,1.6353,1.487,0.6851,134.23,1.5991,0.6352,195.94,83.94,2.3334,0
1999-02-19,1.1063,121.08,1.4465,1.6215,1.4884,0.6823,133.95,1.6003,0.6405,196.34,83.71,2.3455,0
1999-02-22,1.1036,120.87,1.4483,1.6262,1.496,0.6786,133.39,1.5983,0.6402,196.56,83.46,2.3552,0
1999-02-23,1.1005,120.91,1.448,1.6132,1.4962,0.6822,133.06,1.5935,0.6409,195.05,83.5,2.3359,0
1999-02-24,1.0986,121.76,1.4484,1.5961,1.4974,0.6883,133.77,1.5912,0.6321,194.34,84.07,2.3118,0
1999-02-25,1.1044,119.64,1.4385,1.6039,1.5096,0.6886,132.13,1.5886,0.6254,191.9,83.17,2.3072,0
1999-02-26,1.1016,119.05,1.4468,1.6016,1.5102,0.6878,131.15,1.5938,0.6181,160.67,82.29,2.3171,0
1999-03-01,1.0886,119.74,1.4629,1.6088,1.5222,0.6767,130.35,1.5925,0.6192,192.63,81.85,2.3535,0
1999-03-02,1.0918,120.35,1.4577,1.6141,1.5204,0.6764,131.4,1.5915,0.622,194.26,82.56,2.3529,0
1999-03-03,1.0889,121.76,1.4603,1.6131,1.5266,0.675,132.58,1.5901,0.6229,196.4,83.38,2.3556,0
1999-03-04,1.082,123.31,1.4687,1.6105,1.5248,0.6718,133.42,1.5891,0.6241,198.59,83.96,2.3653,0
1999-03-05,1.0826,122.63,1.47,1.6062,1.5199,0.674,132.76,1.5914,0.6281,196.97,83.43,2.3611,0
1999-03-08,1.0883,121.66,1.4626,1.6077,1.5152,0.6769,132.4,1.5917,0.6318,195.59,83.18,2.3515,0
1999-03-09,1.0889,120.91,1.4659,1.6184,1.5177,0.6728,131.66,1.5962,0.6359,195.69,82.48,2.3724,0
1999-03-10,1.0952,119.91,1.4593,1.6268,1.5222,0.6732,131.22,1.5982,0.6362,195.07,82.17,2.374,0
1999-03-11,1.1032,119.32,1.454,1.6363,1.5243,0.6742,131.63,1.6041,0.6379,195.27,82.06,2.3792,0
